1619	23
2290	17
1061	17
7607	7
3570	168
9111	113
1256	144
3765	8
2264	17
3579	78
5138	12
1234	8884
4852	12
2010	238
2369	122
1230	271
1234	8884
1257	36
2000	381
1739	217
0000	5246
3999	17
0607	47
3647	35
2635	22
0000	5246
0000	5246
7827	52
1354	16
1414	363
0819	53
2468	776
1258	205
7200	10
1988	290
6296	9
3746	30
1234	8884
3557	9
2835	12
8283	18
1525	30
7295	31
4500	15
2244	70
1666	17
6969	858
0008	72
1993	408
2580	4753
1815	21
5732	6
2539	178
1111	3264
7572	12
2204	33
1379	839
2580	4753
3372	10
2722	29
9876	267
0586	10
9014	11
2127	23
7426	24
3221	28
2662	112
8818	10
1017	126
1084	18
8132	4
2513	28
1235	506
0411	83
4654	14
4200	101
9536	14
2222	1139
5325	19
5555	1774
0708	45
0000	5246
6133	4
3752	9
6363	78
2511	49
1092	28
9384	5
2580	4753
9746	7
1313	470
5853	67
2222	1139
1313	470
3669	53
0981	9
2222	1139
1234	8884
6201	13
4279	19
1515	207
1111	3264
3109	10
5555	1774
5477	49
1472	278
1903	31
9214	7
0022	35
7667	54
9224	48
3737	41
1235	506
2580	4753
3524	12
8377	14
5648	10
2504	27
9638	11
7582	11
9090	98
1122	452
2222	1139
2218	20
5833	12
9889	11
1111	3264
1535	36
4556	33
0125	54
1994	489
2736	19
5351	14
1233	165
8699	9
1472	278
7664	13
3030	85
2223	76
7211	17
0143	60
8577	5
1027	103
7777	716
0427	70
3287	13
1996	687
5683	1425
1547	16
3306	7
0000	5246
8908	14
9254	7
0612	75
1184	20
3595	13
6464	52
4242	150
9587	7
0914	53
1329	16
0012	33
1125	103
2465	27
1026	98
6575	5
0267	4
1122	452
6316	4
8739	31
6809	1
1966	109
5252	217
8704	6
3030	85
2213	37
5483	36
1472	278
0429	81
6868	39
8095	6
1010	395
6234	36
4592	22
1638	7
4131	10
1991	344
6452	26
4836	6
1234	8884
1551	46
1234	8884
7224	27
5839	13
3787	10
0000	5246
4562	53
1799	12
1234	8884
2342	19
4227	16
1644	11
1997	799
2635	22
6536	7
0208	56
2653	72
9512	39
1436	94
5698	43
1570	61
1234	8884
1464	15
6293	13
5244	21
2469	35
6347	10
5226	27
4369	8
8856	13
1605	24
1111	3264
0320	53
1372	9
2007	86
8515	3
0000	5246
4568	102
0621	58
2589	160
0886	6
3632	11
4987	8
2013	151
8705	12
1234	8884
0544	8
3125	26
1212	944
2211	89
2481	16
0516	42
2689	15
1313	470
6962	8
5822	10
3223	58
9852	27
4966	5
1278	58
8579	13
2002	169
4291	14
8642	43
4155	11
7777	716
6485	10
1201	86
6225	29
2786	11
1234	8884
5550	25
2580	4753
4747	70
2222	1139
1003	83
1256	144
3525	21
7846	7
6909	8
1089	21
1337	211
7926	103
0630	35
8634	6
9090	98
1551	46
2324	68
1990	284
8059	9
3578	111
2323	448
0903	40
5555	1774
5555	1774
1513	30
2580	4753
1470	278
5231	17
0608	39
5136	12
1111	3264
5167	4
0503	62
1103	79
2596	13
1111	3264
1234	8884
1988	290
5412	18
2580	4753
8169	8
1111	3264
3577	28
7441	13
1234	8884
2580	4753
2011	683
0715	54
0427	70
9139	10
1234	8884
5432	76
6006	19
1212	944
0247	7
0923	68
3169	20
0874	16
2580	4753
1245	286
1975	145
1111	3264
8426	54
2156	15
1234	8884
8216	4
8862	12
1293	26
4150	9
1038	15
8080	258
9374	4
3425	106
4223	27
7874	16
3197	28
9526	8
1158	18
1989	315
1999	673
0716	44
2970	4
1994	489
0170	5
3059	2
0708	45
4569	87
1639	8
1998	882
5525	48
5050	144
